('would', 'books/book2|5 books/book1|7 books/book3|5')
('scrooge', 'books/book2|12 books/book1|6 books/book3|6')
('plead', 'books/book1|1')
('that', 'books/book2|18 books/book1|16 books/book3|41')
('hour', 'books/book1|2')
('not', 'books/book2|7 books/book1|9 books/book3|16')
('adapted', 'books/book1|1')
('pedestrian', 'books/book1|1')
('purposes', 'books/book1|1')
('bed', 'books/book2|2 books/book1|1')
('warm', 'books/book1|2 books/book3|1')
('thermometer', 'books/book1|1')
('a', 'books/book2|27 books/book1|37 books/book3|61')
('long', 'books/book2|1 books/book1|1 books/book3|2')
('freezing', 'books/book1|1')
('he', 'books/book2|39 books/book1|20 books/book3|26')
('clad', 'books/book1|1')
('slippers', 'books/book1|1')
('dressinggown', 'books/book1|1')
('cold', 'books/book1|3 books/book3|1')
('gentle', 'books/book1|1 books/book3|1')
('finding', 'books/book1|1')
('window', 'books/book2|1 books/book1|1')
('robe', 'books/book1|1')
('supplication', 'books/book1|1')
('i', 'books/book2|28 books/book1|11 books/book3|10')
('fall', 'books/book1|2 books/book3|1')
('bear', 'books/book1|1 books/book3|2')
('shall', 'books/book2|2 books/book1|1 books/book3|2')
('upheld', 'books/book1|1')
('than', 'books/book2|2 books/book1|1 books/book3|10')
('words', 'books/book1|3 books/book3|1')
('spoken', 'books/book1|1 books/book3|1')
('through', 'books/book1|2 books/book3|2')
('wall', 'books/book1|1')
('busy', 'books/book1|1')
('dressing', 'books/book1|1')
('too', 'books/book2|1 books/book1|3 books/book3|1')
('christmas', 'books/book2|6 books/book1|4 books/book3|4')
('ghost', 'books/book2|3 books/book1|3')
('warehouse', 'books/book1|2')
('door', 'books/book2|5 books/book1|2 books/book3|1')
('knew', 'books/book1|1 books/book3|2')
('sight', 'books/book1|1')
('an', 'books/book2|3 books/book1|3 books/book3|10')
('gentleman', 'books/book1|1')
('welsh', 'books/book1|1')
('behind', 'books/book2|3 books/book1|1')
('such', 'books/book2|1 books/book1|1 books/book3|6')
('high', 'books/book1|1 books/book3|2')
('inches', 'books/book1|1')
('head', 'books/book2|1 books/book1|1 books/book3|1')
('ceiling', 'books/book1|1')
('cried', 'books/book2|2 books/book1|2 books/book3|1')
('great', 'books/book1|5 books/book3|19')
('excitement', 'books/book1|1')
('bless', 'books/book2|1 books/book1|2 books/book3|1')
('alive', 'books/book1|1 books/book3|2')
('again', 'books/book1|6 books/book3|2')
('down', 'books/book2|4 books/book1|2 books/book3|2')
('pen', 'books/book2|1 books/book1|1')
('up', 'books/book2|3 books/book1|8 books/book3|7')
('clock', 'books/book2|1 books/book1|2')
('which', 'books/book2|4 books/book1|2 books/book3|8')
('rubbed', 'books/book1|1')
('adjusted', 'books/book1|1')
('all', 'books/book2|9 books/book1|8 books/book3|15')
('over', 'books/book1|1 books/book3|3')
('from', 'books/book2|1 books/book1|4 books/book3|13')
('organ', 'books/book1|1')
('benevolence', 'books/book1|1')
('called', 'books/book1|1')
('rich', 'books/book1|1 books/book3|5')
('jovial', 'books/book1|1')
('yo', 'books/book1|2')
('dick', 'books/book1|5')
('living', 'books/book1|1')
('scrooges', 'books/book1|2')
('self', 'books/book1|2')
('man', 'books/book2|6 books/book1|3 books/book3|13')
('came', 'books/book2|3 books/book1|11 books/book3|1')
('briskly', 'books/book1|1')
('accompanied', 'books/book1|1')
('wilkins', 'books/book1|1')
('sure', 'books/book1|1')
('me', 'books/book2|13 books/book1|3 books/book3|2')
('yes', 'books/book2|5 books/book1|1')
('attached', 'books/book1|1')
('poor', 'books/book2|1 books/book1|1')
('no', 'books/book2|11 books/book1|6 books/book3|4')
('eve', 'books/book1|1')
('lets', 'books/book1|2')
('shutters', 'books/book1|1')
